city,fetched_at,temp_c,humidity_pct,pressure_hpa,wind_speed_ms,wind_deg,clouds_pct
Chennai,2026-09-19T15:49:00.913087+00:00,30.43,82,1010,4.12,160,99
Vellore,2026-09-19T15:49:01.033076+00:00,29.58,75,1010,1.93,211,71
Coimbatore,2026-09-19T15:49:01.147218+00:00,26.78,74,1013,7.2,230,100
Madurai,2026-09-19T15:49:01.282736+00:00,25.99,89,1011,2.06,50,100
Tiruchirappalli,2026-09-19T15:49:01.407634+00:00,28.05,83,1011,2.06,270,100
Chennai,2026-09-19T16:50:46.308156+00:00,30.42,83,1010,4.12,190,99
Vellore,2026-09-19T16:50:46.430746+00:00,29.0,77,1010,1.99,243,73
Coimbatore,2026-09-19T16:50:46.554360+00:00,25.78,83,1013,6.17,230,100
Madurai,2026-09-19T16:50:46.670895+00:00,26.99,83,1011,1.54,320,100
Tiruchirappalli,2026-09-19T16:50:46.795576+00:00,28.05,89,1011,2.06,260,100
Chennai,2026-09-19T19:01:17.753283+00:00,28.24,78,1009,3.58,197,99
Vellore,2026-09-19T19:01:17.878502+00:00,26.66,84,1010,0.57,224,100
Coimbatore,2026-09-19T19:01:18.001867+00:00,25.78,83,1013,3.6,230,100
Madurai,2026-09-19T19:01:18.128763+00:00,26.99,83,1010,2.06,330,100
Tiruchirappalli,2026-09-19T19:01:18.251877+00:00,28.05,89,1010,1.03,0,100
Chennai,2026-09-19T21:49:04.150689+00:00,27.95,78,1007,7.72,240,100
Vellore,2026-09-19T21:49:04.275214+00:00,25.67,83,1008,1.17,279,100
Coimbatore,2026-09-19T21:49:04.393487+00:00,24.78,94,1010,2.57,220,100
Madurai,2026-09-19T21:49:04.522143+00:00,25.99,89,1009,2.06,60,100
Tiruchirappalli,2026-09-19T21:49:04.653737+00:00,27.05,94,1009,1.03,0,100
Chennai,2026-09-19T23:40:39.481686+00:00,27.36,79,1008,6.17,260,99
Vellore,2026-09-19T23:40:39.586047+00:00,25.51,83,1009,1.49,288,100
Coimbatore,2026-09-19T23:40:39.687564+00:00,24.78,94,1012,2.06,210,100
Madurai,2026-09-19T23:40:39.792177+00:00,25.99,89,1009,2.06,350,100
Tiruchirappalli,2026-09-19T23:40:39.899301+00:00,26.05,100,1009,0.51,0,100
Chennai,2026-09-20T01:45:01.421449+00:00,27.05,76,1009,6.17,260,100
Vellore,2026-09-20T01:45:01.524299+00:00,25.82,80,1011,2.26,250,100
Coimbatore,2026-09-20T01:45:01.638132+00:00,24.78,94,1013,2.06,220,99
Madurai,2026-09-20T01:45:01.724752+00:00,26.99,89,1011,1.54,0,99
Tiruchirappalli,2026-09-20T01:45:01.828733+00:00,27.05,94,1010,1.03,0,100
Chennai,2026-09-20T07:07:43.488114+00:00,34.08,64,1008,4.12,350,100
Vellore,2026-09-20T07:07:43.607779+00:00,31.82,57,1009,2.96,297,100
Coimbatore,2026-09-20T07:07:43.757504+00:00,31.78,55,1013,2.06,250,100
Madurai,2026-09-20T07:07:43.901266+00:00,33.99,55,1011,2.06,250,100
Tiruchirappalli,2026-09-20T07:07:44.029736+00:00,36.05,63,1010,5.14,300,100
Chennai,2026-09-20T12:39:21.101350+00:00,30.64,81,1007,5.66,200,100
Vellore,2026-09-20T12:39:21.193498+00:00,30.16,64,1008,0.48,303,100
Coimbatore,2026-09-20T12:39:21.280488+00:00,27.78,65,1010,6.69,230,100
Madurai,2026-09-20T12:39:21.370144+00:00,24.99,94,1009,4.12,130,100
Tiruchirappalli,2026-09-20T12:39:21.455220+00:00,30.05,74,1008,7.2,160,100
Chennai,2026-09-20T16:32:35.702753+00:00,30.15,81,1011,2.57,200,100
Vellore,2026-09-20T16:32:35.759557+00:00,26.94,86,1011,1.88,124,100
Coimbatore,2026-09-20T16:32:35.821254+00:00,25.78,89,1013,5.14,220,100
Madurai,2026-09-20T16:32:35.872296+00:00,25.99,89,1013,1.54,270,100
Tiruchirappalli,2026-09-20T16:32:35.924312+00:00,27.05,89,1012,2.06,240,100
